et,open,high,low,close,volume,buy_volume,sell_volume,delta,prints,rth_volume_percentile,hit_target_low,hit_target_high
11:12:00,7738.0,7739.25,7736.75,7737.0,1903.0,937.0,966.0,-29.0,1533,0.4373401534526854,False,False
11:13:00,7737.25,7738.25,7737.0,7737.75,1191.0,519.0,672.0,-153.0,1011,0.1534526854219949,False,False
11:14:00,7737.75,7740.25,7737.75,7740.0,2351.0,1379.0,972.0,407.0,1647,0.6035805626598465,True,False
11:15:00,7740.0,7742.0,7739.75,7741.75,3129.0,1655.0,1474.0,181.0,2331,0.782608695652174,True,False
11:16:00,7741.75,7742.5,7741.25,7742.25,2411.0,1277.0,1134.0,143.0,1823,0.6265984654731458,False,False
11:17:00,7742.25,7742.75,7741.5,7742.0,2104.0,906.0,1198.0,-292.0,1598,0.49872122762148335,False,False
11:18:00,7741.75,7742.75,7741.0,7742.5,1902.0,982.0,920.0,62.0,1424,0.43478260869565216,False,False
11:19:00,7742.5,7742.75,7740.25,7741.25,1667.0,792.0,875.0,-83.0,1302,0.34782608695652173,False,False
11:20:00,7741.5,7742.5,7740.75,7741.5,1760.0,862.0,898.0,-36.0,1393,0.37851662404092073,False,False
11:21:00,7741.25,7742.0,7739.5,7740.25,1963.0,907.0,1056.0,-149.0,1540,0.4629156010230179,True,False
11:22:00,7740.0,7741.0,7739.75,7740.75,1684.0,874.0,810.0,64.0,1272,0.3554987212276215,True,False
11:23:00,7740.75,7741.0,7739.0,7741.0,1972.0,980.0,992.0,-12.0,1507,0.4680306905370844,True,False
11:24:00,7741.0,7741.25,7739.0,7739.5,2222.0,1037.0,1185.0,-148.0,1597,0.5370843989769821,True,False
11:25:00,7739.75,7739.75,7736.75,7738.25,2702.0,1214.0,1488.0,-274.0,2103,0.6956521739130435,False,False
11:26:00,7738.0,7739.0,7737.25,7738.25,1857.0,936.0,921.0,15.0,1581,0.4117647058823529,False,False
11:27:00,7738.0,7738.75,7736.25,7736.5,1869.0,847.0,1022.0,-175.0,1565,0.4219948849104859,False,False
11:28:00,7736.5,7737.5,7736.25,7736.5,1224.0,601.0,623.0,-22.0,991,0.16112531969309463,False,False
11:29:00,7736.5,7736.75,7733.75,7734.75,3234.0,1387.0,1847.0,-460.0,2277,0.7953964194373402,False,False
11:30:00,7734.75,7735.25,7732.25,7734.0,4632.0,2157.0,2475.0,-318.0,3181,0.9002557544757033,False,False
11:31:00,7734.0,7734.75,7733.0,7734.75,3435.0,1878.0,1557.0,321.0,2451,0.8184143222506394,False,False
11:32:00,7734.75,7736.75,7732.75,7736.75,3229.0,1943.0,1286.0,657.0,2331,0.7928388746803069,False,False
11:33:00,7736.75,7737.75,7735.25,7735.75,2520.0,1322.0,1198.0,124.0,1840,0.6470588235294118,False,False
11:34:00,7735.75,7735.75,7732.25,7733.75,2835.0,1354.0,1481.0,-127.0,2060,0.7212276214833759,False,False
11:35:00,7733.5,7735.0,7732.25,7733.25,2821.0,1492.0,1329.0,163.0,1922,0.7186700767263428,False,False
11:36:00,7733.25,7733.5,7731.5,7732.25,1866.0,860.0,1006.0,-146.0,1341,0.4194373401534527,False,False
11:37:00,7732.25,7732.5,7730.75,7731.5,3836.0,1731.0,2105.0,-374.0,2468,0.8516624040920716,False,False
11:38:00,7731.25,7732.5,7730.5,7731.25,2903.0,1487.0,1416.0,71.0,1857,0.7468030690537084,False,False
11:39:00,7731.25,7731.25,7729.5,7730.5,3101.0,1438.0,1663.0,-225.0,2094,0.7774936061381074,False,False
11:40:00,7730.5,7732.0,7729.75,7731.5,3017.0,1620.0,1397.0,223.0,2162,0.7672634271099744,False,False
11:41:00,7731.5,7735.0,7731.5,7735.0,3687.0,2216.0,1471.0,745.0,2515,0.8363171355498721,False,False
11:42:00,7735.0,7735.0,7731.75,7732.25,1948.0,870.0,1078.0,-208.0,1417,0.45524296675191817,False,False
11:43:00,7732.25,7732.25,7729.0,7729.25,3629.0,1546.0,2083.0,-537.0,2356,0.8312020460358056,False,False
11:44:00,7729.5,7729.5,7727.25,7727.75,4637.0,2359.0,2278.0,81.0,3331,0.9028132992327366,False,False
11:45:00,7728.0,7728.0,7725.25,7726.75,4469.0,2032.0,2437.0,-405.0,3259,0.8925831202046036,False,False
