recorded_utc,recorded_et,api_as_of_utc,ticker,category,spot,zero_gamma,call_wall,put_wall,oi_call_wall,oi_put_wall
2026-08-27T13:59:59.397447Z,09:59:59,2026-08-27T13:59:58Z,NQ_NDX,gex_one,29487.31,,29864.88->30064.88,,,
2026-08-27T14:00:59.707829Z,10:00:59,2026-08-27T14:00:59Z,ES_SPX,gex_zero,7717.33,7712.98->7712.3,7733.89->7733.58,7703.81->7703.5,7753.81->7753.5,7728.81->7728.5
2026-08-27T14:00:59.997102Z,10:00:59,2026-08-27T14:00:59Z,ES_SPX,gex_full,7717.33,7712.61->7711.89,7733.89->7733.5,7703.81->7703.5,7913.81->7913.5,7513.81->7513.5
2026-08-27T14:01:00.374153Z,10:01:00,2026-08-27T14:01:00Z,ES_SPX,gex_one,7717.18,7706.31->7706,7773.81->7773.5,7673.81->7673.5,7743.81->7743.5,7663.81->7663.5
2026-08-27T14:01:00.859509Z,10:01:00,2026-08-27T14:01:00Z,NQ_NDX,gex_zero,29502.21,29460.78->29461.22,29594.88->29593.62,29364.88->29363.62,29574.88->29573.62,29342.8->29339.12
2026-08-27T14:01:01.227380Z,10:01:01,2026-08-27T14:01:00Z,NQ_NDX,gex_full,29502.21,29549.85->29461.96,29594.88->29593.62,29364.88->29363.62,29339.88->29338.62,29664.88->29663.62
2026-08-27T14:01:01.488731Z,10:01:01,2026-08-27T14:01:00Z,NQ_NDX,gex_one,29502.21,29094.88->29093.62,30064.88->30063.62,29064.88->29063.62,29564.88->29563.62,29239.88->29238.62
2026-08-27T14:02:02.190449Z,10:02:02,2026-08-27T14:02:01Z,ES_SPX,gex_full,7717.99,,7733.5->7733.58,,,
2026-08-27T14:02:02.836904Z,10:02:02,2026-08-27T14:02:01Z,NQ_NDX,gex_zero,29513.82,,,,,29339.12->29338.87
2026-08-27T14:02:03.153912Z,10:02:03,2026-08-27T14:02:01Z,NQ_NDX,gex_full,29513.82,29461.96->29549.49,,,29338.62->29563.62,
2026-08-27T14:03:03.773274Z,10:03:03,2026-08-27T14:03:02Z,ES_SPX,gex_zero,7717.62,7712.3->7712.67,7733.58->7733.75,,,
2026-08-27T14:03:04.138250Z,10:03:04,2026-08-27T14:03:04Z,ES_SPX,gex_full,7718.0,7711.89->7712.3,,,7913.5->7813.5,
2026-08-27T14:03:04.741116Z,10:03:04,2026-08-27T14:03:03Z,NQ_NDX,gex_zero,29514.88,29461.22->29464.13,,,,
2026-08-27T14:03:05.087974Z,10:03:05,2026-08-27T14:03:05Z,NQ_NDX,gex_full,29514.75,29549.49->29463.62,,,,29663.62->29163.62
2026-08-27T14:04:05.654395Z,10:04:05,2026-08-27T14:04:04Z,ES_SPX,gex_zero,7721.21,,7733.75->7734.7,,,
2026-08-27T14:04:06.023159Z,10:04:06,2026-08-27T14:04:06Z,ES_SPX,gex_full,7721.69,,7733.58->7743.42,,,
2026-08-27T14:04:06.606436Z,10:04:06,2026-08-27T14:04:06Z,NQ_NDX,gex_zero,29543.32,29464.13->29423.78,,,,
2026-08-27T14:04:06.974711Z,10:04:06,2026-08-27T14:04:06Z,NQ_NDX,gex_full,29543.32,29463.62->29551.95,,,,
2026-08-27T14:05:07.655197Z,10:05:07,2026-08-27T14:05:06Z,ES_SPX,gex_zero,7720.6,7712.67->7711.89,7734.7->7743.5,,,
2026-08-27T14:05:07.931359Z,10:05:07,2026-08-27T14:05:07Z,ES_SPX,gex_full,7720.61,7712.3->7711.89,7743.42->7743.5,,,
2026-08-27T14:05:08.624518Z,10:05:08,2026-08-27T14:05:08Z,NQ_NDX,gex_zero,29537.52,,,,,29338.87->29338.7
2026-08-27T14:06:10.369651Z,10:06:10,2026-08-27T14:06:09Z,NQ_NDX,gex_zero,29554.54,29423.78->29423.62,,,,
2026-08-27T14:07:11.368895Z,10:07:11,2026-08-27T14:07:11Z,ES_SPX,gex_zero,7713.72,7711.89->7712.99,,,,
2026-08-27T14:07:11.700669Z,10:07:11,2026-08-27T14:07:11Z,ES_SPX,gex_full,7713.72,7711.89->7712.67,,,,
2026-08-27T14:07:12.017952Z,10:07:12,2026-08-27T14:07:11Z,ES_SPX,gex_one,7713.72,7706->7637.3,,7673.5->7538.5,,
2026-08-27T14:07:12.404250Z,10:07:12,2026-08-27T14:07:12Z,NQ_NDX,gex_zero,29515.99,,,,,29338.7->29343.34
2026-08-27T14:07:12.668144Z,10:07:12,2026-08-27T14:07:12Z,NQ_NDX,gex_full,29515.99,29551.95->29553.1,,,,29163.62->29663.62
2026-08-27T14:08:13.320775Z,10:08:13,2026-08-27T14:08:11Z,ES_SPX,gex_zero,7716.64,7712.99->7712.67,,,,
