recorded_at_utc,api_as_of_utc,ticker,category,spot,zero_gamma,call_wall,put_wall,oi_call_wall,oi_put_wall,sum_gex_vol,sum_gex_oi,recorded_et,nearest_to_7740,dist_to_7740,nearest_to_7743,dist_to_7743,nearest_to_7741.5,dist_to_7741.5
2026-08-27T14:42:17.117828Z,2026-08-27T14:42:16Z,ES_SPX,gex_zero,7726.93,7715.54,7743.04,7703.04,7753.04,7728.04,91054.032,13116.519,10:42:17,call_wall,-3.0399999999999636,call_wall,-0.03999999999996362,call_wall,-1.5399999999999636
2026-08-27T14:42:17.478423Z,2026-08-27T14:42:16Z,ES_SPX,gex_full,7726.93,7715.09,7743.04,7703.04,7813.04,7513.04,94128.875,40566.016,10:42:17,call_wall,-3.0399999999999636,call_wall,-0.03999999999996362,call_wall,-1.5399999999999636
2026-08-27T14:43:19.057468Z,2026-08-27T14:43:18Z,ES_SPX,gex_zero,7727.6,7715.54,7743.04,7703.04,7753.04,7728.04,92578.895,13038.948,10:43:19,call_wall,-3.0399999999999636,call_wall,-0.03999999999996362,call_wall,-1.5399999999999636
2026-08-27T14:43:19.503975Z,2026-08-27T14:43:18Z,ES_SPX,gex_full,7727.6,7715.54,7743.04,7703.04,7813.04,7513.04,95783.949,40723.931,10:43:19,call_wall,-3.0399999999999636,call_wall,-0.03999999999996362,call_wall,-1.5399999999999636
2026-08-27T14:44:21.127836Z,2026-08-27T14:44:20Z,ES_SPX,gex_zero,7725.74,7715.54,7743.04,7703.04,7753.04,7728.04,83204.632,12157.168,10:44:21,call_wall,-3.0399999999999636,call_wall,-0.03999999999996362,call_wall,-1.5399999999999636
2026-08-27T14:44:21.501346Z,2026-08-27T14:44:20Z,ES_SPX,gex_full,7725.74,7715.54,7743.04,7703.04,7813.04,7513.04,86314.474,39546.667,10:44:21,call_wall,-3.0399999999999636,call_wall,-0.03999999999996362,call_wall,-1.5399999999999636
2026-08-27T14:45:22.927900Z,2026-08-27T14:45:21Z,ES_SPX,gex_zero,7726.71,7716.5,7743.55,7703.55,7753.55,7728.55,83235.409,12228.521,10:45:22,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:45:23.350336Z,2026-08-27T14:45:23Z,ES_SPX,gex_full,7727.69,7716.05,7743.55,7703.55,7813.55,7513.55,92413.964,40165.821,10:45:23,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:46:24.996203Z,2026-08-27T14:46:24Z,ES_SPX,gex_zero,7729.29,7716.5,7743.55,7703.55,7753.55,7728.55,103169.045,13905.492,10:46:24,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:46:25.311593Z,2026-08-27T14:46:24Z,ES_SPX,gex_full,7729.29,7716.05,7743.55,7703.55,7813.55,7513.55,106187.564,41876.845,10:46:25,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:47:26.878362Z,2026-08-27T14:47:26Z,ES_SPX,gex_zero,7726.06,7716.05,7743.55,7703.55,7753.55,7728.55,87603.444,12209.525,10:47:26,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:47:27.186312Z,2026-08-27T14:47:26Z,ES_SPX,gex_full,7726.06,7715.6,7743.55,7703.55,7813.55,7513.55,90609.663,39990.719,10:47:27,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:48:28.710482Z,2026-08-27T14:48:27Z,ES_SPX,gex_zero,7728.02,7716.05,7743.55,7703.55,7753.55,7728.55,95255.3,13071.218,10:48:28,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:48:29.039702Z,2026-08-27T14:48:27Z,ES_SPX,gex_full,7728.02,7716.05,7743.55,7703.55,7813.55,7513.55,98208.052,40755.736,10:48:29,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:49:30.466839Z,2026-08-27T14:49:30Z,ES_SPX,gex_zero,7732.78,7716.93,7743.55,7703.55,7753.55,7728.55,123911.858,15687.855,10:49:30,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:49:30.888137Z,2026-08-27T14:49:30Z,ES_SPX,gex_full,7732.78,7716.5,7743.55,7703.55,7813.55,7513.55,127672.649,45192.512,10:49:30,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:50:32.725381Z,2026-08-27T14:50:32Z,ES_SPX,gex_zero,7733.68,7716.5,7743.55,7703.55,7753.55,7728.55,136925.077,16426.889,10:50:32,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:50:33.124643Z,2026-08-27T14:50:32Z,ES_SPX,gex_full,7733.68,7716.5,7743.55,7703.55,7813.55,7513.55,141111.275,47155.461,10:50:33,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:51:34.664884Z,2026-08-27T14:51:34Z,ES_SPX,gex_zero,7732.58,7716.5,7743.55,7703.55,7753.55,7728.55,131759.395,15775.993,10:51:34,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:51:35.051634Z,2026-08-27T14:51:34Z,ES_SPX,gex_full,7732.58,7716.5,7743.55,7703.55,7813.55,7513.55,135877.357,46294.373,10:51:35,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:52:36.465163Z,2026-08-27T14:52:36Z,ES_SPX,gex_zero,7734.24,7716.5,7743.55,7703.55,7753.55,7728.55,143433.389,16821.708,10:52:36,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:52:36.811594Z,2026-08-27T14:52:36Z,ES_SPX,gex_full,7734.24,7716.5,7743.55,7703.55,7813.55,7513.55,147531.428,48944.051,10:52:36,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:53:38.319704Z,2026-08-27T14:53:37Z,ES_SPX,gex_zero,7733.1,7716.5,7743.55,7703.55,7753.55,7728.55,140762.133,16390.517,10:53:38,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:53:38.718682Z,2026-08-27T14:53:38Z,ES_SPX,gex_full,7732.61,7716.5,7743.55,7703.55,7813.55,7513.55,143921.713,47557.005,10:53:38,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:54:40.263725Z,2026-08-27T14:54:40Z,ES_SPX,gex_zero,7731.83,7717.35,7743.55,7703.55,7753.55,7728.55,128157.944,15378.607,10:54:40,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:54:40.686770Z,2026-08-27T14:54:40Z,ES_SPX,gex_full,7731.83,7717.35,7743.55,7703.55,7813.55,7513.55,131938.207,45828.467,10:54:40,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:55:42.129694Z,2026-08-27T14:55:42Z,ES_SPX,gex_zero,7730.51,7716.93,7743.55,7703.55,7753.55,7728.55,123001.414,14840.634,10:55:42,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:55:42.474980Z,2026-08-27T14:55:42Z,ES_SPX,gex_full,7730.51,7716.93,7743.55,7703.55,7813.55,7513.55,126851.595,45498.59,10:55:42,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:56:44.033825Z,2026-08-27T14:56:44Z,ES_SPX,gex_zero,7730.23,7716.93,7743.55,7703.55,7753.55,7728.55,121577.252,14769.473,10:56:44,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:56:44.414615Z,2026-08-27T14:56:44Z,ES_SPX,gex_full,7730.23,7716.93,7743.55,7703.55,7813.55,7513.55,125280.979,45026.407,10:56:44,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:57:45.957797Z,2026-08-27T14:57:45Z,ES_SPX,gex_zero,7732.31,7716.93,7743.55,7703.55,7753.55,7728.55,140880.583,16138.335,10:57:45,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:57:46.386939Z,2026-08-27T14:57:46Z,ES_SPX,gex_full,7732.27,7716.93,7743.55,7703.55,7813.55,7513.55,142668.616,46709.4,10:57:46,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
