symbol,ticker,decision_utc,decision_et,campaign_id,action,policy,reason_code,waypoint_id,phase_before,phase_after,pos_before,pos_after,evidence_source,evidence_kind,evidence_side,price,category,gex_record_id,gex_recorded_utc,gex_recorded_et,gex_api_as_of_utc,gex_spot,zero_gamma,call_wall,put_wall,oi_call_wall,oi_put_wall,sum_gex_vol,sum_gex_oi,nearest_gex,nearest_gex_distance
NQ,NQ_NDX,2026-08-27T15:03:42.146469Z,11:03:42,nq-2026-08-27-long-postib-uppernode-29572-29612,Reduce,evaluate_zone,evaluate_opposite_ownership,evaluate-29608-29616,ProbeOpen,Ready,2,0,LevelLedger,RailOwned,Supply,29595.25,gex_full,548,2026-08-27T15:02:56.609040Z,11:02:56,2026-08-27T15:02:55Z,29608.7,29518.93,29613.03,29463.03,29563.03,29163.03,9167.931,6840.167,call_wall,-17.779999999998836
NQ,NQ_NDX,2026-08-27T15:03:42.146469Z,11:03:42,nq-2026-08-27-long-postib-uppernode-29572-29612,Reduce,evaluate_zone,evaluate_opposite_ownership,evaluate-29608-29616,ProbeOpen,Ready,2,0,LevelLedger,RailOwned,Supply,29595.25,gex_one,549,2026-08-27T15:02:56.945985Z,11:02:56,2026-08-27T15:02:57Z,29608.7,29123.03,30063.03,29063.03,29563.03,29238.03,376.241,1783.95,oi_call_wall,32.220000000001164
NQ,NQ_NDX,2026-08-27T15:25:59.437662Z,11:25:59,nq-2026-08-27-long-postib-uppernode-29572-29612,AllowProbe,trap_probe,same_side_lean_at_trap_probe,probe-29572-29594,Ready,ProbeOpen,0,2,LevelLedger,RailHeld,Demand,29591.0,gex_zero,681,2026-08-27T15:25:37.367678Z,11:25:37,2026-08-27T15:25:36Z,29588.93,29529.59,29614.56,29464.56,29574.56,29344.46,10022.288,3096.867,oi_call_wall,16.43999999999869
NQ,NQ_NDX,2026-08-27T15:25:59.437662Z,11:25:59,nq-2026-08-27-long-postib-uppernode-29572-29612,AllowProbe,trap_probe,same_side_lean_at_trap_probe,probe-29572-29594,Ready,ProbeOpen,0,2,LevelLedger,RailHeld,Demand,29591.0,gex_full,682,2026-08-27T15:25:37.744289Z,11:25:37,2026-08-27T15:25:36Z,29588.93,29549.53,29614.56,29464.56,29564.56,29164.56,10203.384,6959.527,call_wall,-23.56000000000131
NQ,NQ_NDX,2026-08-27T15:25:59.437662Z,11:25:59,nq-2026-08-27-long-postib-uppernode-29572-29612,AllowProbe,trap_probe,same_side_lean_at_trap_probe,probe-29572-29594,Ready,ProbeOpen,0,2,LevelLedger,RailHeld,Demand,29591.0,gex_one,683,2026-08-27T15:25:38.070356Z,11:25:38,2026-08-27T15:25:37Z,29590.19,29124.56,30064.56,29064.56,29564.56,29239.56,499.853,1829.564,oi_call_wall,26.43999999999869
NQ,NQ_NDX,2026-08-27T15:29:34.203942Z,11:29:34,nq-2026-08-27-long-postib-uppernode-29572-29612,Flatten,build_trial,risk_anchor_failed,,ProbeOpen,Ready,2,0,LevelLedger,RailFailed,Demand,29577.5,gex_zero,699,2026-08-27T15:28:43.138024Z,11:28:43,2026-08-27T15:28:42Z,29586.8,29529.59,29614.56,29464.56,29574.56,29344.46,8996.714,3074.334,oi_call_wall,2.9399999999986903
NQ,NQ_NDX,2026-08-27T15:29:34.203942Z,11:29:34,nq-2026-08-27-long-postib-uppernode-29572-29612,Flatten,build_trial,risk_anchor_failed,,ProbeOpen,Ready,2,0,LevelLedger,RailFailed,Demand,29577.5,gex_full,700,2026-08-27T15:28:43.368615Z,11:28:43,2026-08-27T15:28:43Z,29587.51,29545.05,29614.56,29464.56,29564.56,29164.56,9171.461,6926.697,oi_call_wall,12.93999999999869
NQ,NQ_NDX,2026-08-27T15:29:34.203942Z,11:29:34,nq-2026-08-27-long-postib-uppernode-29572-29612,Flatten,build_trial,risk_anchor_failed,,ProbeOpen,Ready,2,0,LevelLedger,RailFailed,Demand,29577.5,gex_one,701,2026-08-27T15:28:43.665598Z,11:28:43,2026-08-27T15:28:43Z,29587.51,29124.56,30064.56,29064.56,29564.56,29239.56,497.932,1820.319,oi_call_wall,12.93999999999869
ES,ES_SPX,2026-08-27T17:39:03.639916Z,13:39:03,es-2026-08-27-short-upper-supply-vwap-7754-7756,AllowProbe,trap_probe,same_side_lean_at_trap_probe,probe-7748-7756,Ready,ProbeOpen,0,2,LevelLedger,RailHeld,Supply,7748.75,gex_zero,1453,2026-08-27T17:38:06.659983Z,13:38:06,2026-08-27T17:38:05Z,7750.13,7729.19,7753.94,7713.94,7753.94,7728.94,607558.438,32600.249,call_wall,-5.1899999999996
ES,ES_SPX,2026-08-27T17:39:03.639916Z,13:39:03,es-2026-08-27-short-upper-supply-vwap-7754-7756,AllowProbe,trap_probe,same_side_lean_at_trap_probe,probe-7748-7756,Ready,ProbeOpen,0,2,LevelLedger,RailHeld,Supply,7748.75,gex_full,1454,2026-08-27T17:38:07.008391Z,13:38:07,2026-08-27T17:38:07Z,7750.01,7728.85,7753.94,7713.94,7753.94,7513.94,629627.61,79516.309,call_wall,-5.1899999999996
ES,ES_SPX,2026-08-27T17:39:03.639916Z,13:39:03,es-2026-08-27-short-upper-supply-vwap-7754-7756,AllowProbe,trap_probe,same_side_lean_at_trap_probe,probe-7748-7756,Ready,ProbeOpen,0,2,LevelLedger,RailHeld,Supply,7748.75,gex_one,1455,2026-08-27T17:38:07.444787Z,13:38:07,2026-08-27T17:38:07Z,7750.01,7725.14,7763.94,7653.94,7813.94,7713.94,9422.87,6932.246,call_wall,-15.1899999999996
ES,ES_SPX,2026-08-27T18:31:48.647386Z,14:31:48,es-2026-08-27-short-upper-supply-vwap-7754-7756,Retire,target_zone,opposite_ownership_at_target,target-7728-7729-50,BuildTrial,Retired,2,0,LevelLedger,RailOwned,Demand,7729.0,gex_zero,1762,2026-08-27T18:30:53.731087Z,14:30:53,2026-08-27T18:30:52Z,7727.16,7735.96,7743.01,7713.01,7738.01,7728.01,-96613.315,13770.473,oi_put_wall,0.9899999999997817
ES,ES_SPX,2026-08-27T18:31:48.647386Z,14:31:48,es-2026-08-27-short-upper-supply-vwap-7754-7756,Retire,target_zone,opposite_ownership_at_target,target-7728-7729-50,BuildTrial,Retired,2,0,LevelLedger,RailOwned,Demand,7729.0,gex_full,1763,2026-08-27T18:30:54.078170Z,14:30:54,2026-08-27T18:30:52Z,7727.16,7735.96,7743.01,7713.01,7913.01,7513.01,-91745.627,43640.68,zero_gamma,-6.960000000000036
ES,ES_SPX,2026-08-27T18:31:48.647386Z,14:31:48,es-2026-08-27-short-upper-supply-vwap-7754-7756,Retire,target_zone,opposite_ownership_at_target,target-7728-7729-50,BuildTrial,Retired,2,0,LevelLedger,RailOwned,Demand,7729.0,gex_one,1764,2026-08-27T18:30:54.326576Z,14:30:54,2026-08-27T18:30:54Z,7727.34,7725.96,7763.01,7653.01,7743.01,7663.01,1616.639,3285.669,zero_gamma,3.0399999999999636
