symbol,first_line,last_line,first_utc,last_utc,first_et,last_et,count,campaign_id,phase_before,phase_after,action,policy,reason_code,waypoint_id,evidence_source,evidence_kind,evidence_side,first_price,min_price,max_price,first_pos_before,last_pos_after,first_evidence_id,last_evidence_id
ES,7269,7269,2026-08-27T14:07:53.518048Z,2026-08-27T14:07:53.518048Z,10:07:53,10:07:53,1,es-2026-08-27-long-orr-7716-7726,Ready,ProbeOpen,AllowProbe,trap_probe,same_side_lean_at_trap_probe,probe-7716-7726,LevelLedger,RailHeld,Demand,7717.5,7717.5,7717.5,0,2,live-ll-30-RailHeld-639234364735137021,live-ll-30-RailHeld-639234364735137021
ES,7274,7274,2026-08-27T14:07:54.179190Z,2026-08-27T14:07:54.179190Z,10:07:54,10:07:54,1,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,LevelLedger,RailTested,Supply,7717.5,7717.5,7717.5,2,2,live-ll-33-RailTested-639234364735137021,live-ll-33-RailTested-639234364735137021
ES,7292,7312,2026-08-27T14:07:59.275273Z,2026-08-27T14:08:20.270754Z,10:07:59,10:08:20,5,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,Price,PriceTouch,None,7717.375,7715.875,7717.375,2,2,quote-639234364790191433,quote-639234365000157983
ES,7321,7321,2026-08-27T14:08:34.021012Z,2026-08-27T14:08:34.021012Z,10:08:34,10:08:34,1,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,LevelLedger,RailOwned,Supply,7714.0,7714.0,7714.0,2,2,live-ll-36-RailOwned-639234365140170776,live-ll-36-RailOwned-639234365140170776
ES,7324,7414,2026-08-27T14:08:45.024994Z,2026-08-27T14:10:37.515664Z,10:08:45,10:10:37,22,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,Price,PriceTouch,None,7714.875,7714.875,7720.375,2,2,quote-639234365248944771,quote-639234366373635152
ES,7420,7420,2026-08-27T14:10:42.779633Z,2026-08-27T14:10:42.779633Z,10:10:42,10:10:42,1,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,LevelLedger,RailTested,Supply,7720.5,7720.5,7720.5,2,2,live-ll-35-RailTested-639234366427758620,live-ll-35-RailTested-639234366427758620
ES,7423,7577,2026-08-27T14:10:48.022746Z,2026-08-27T14:14:23.785356Z,10:10:48,10:14:23,43,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,Price,PriceTouch,None,7720.125,7718.625,7720.875,2,2,quote-639234366478455556,quote-639234368635473156
ES,7581,7581,2026-08-27T14:14:28.797449Z,2026-08-27T14:14:28.797449Z,10:14:28,10:14:28,1,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,LevelLedger,RailHeld,Supply,7719.0,7719.0,7719.0,2,2,live-ll-35-RailHeld-639234368687864262,live-ll-35-RailHeld-639234368687864262
ES,7585,7966,2026-08-27T14:14:34.032420Z,2026-08-27T14:23:13.797661Z,10:14:34,10:23:13,102,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,Price,PriceTouch,None,7718.875,7717.625,7725.875,2,2,quote-639234368738269987,quote-639234373935818084
ES,7971,7971,2026-08-27T14:23:18.808612Z,2026-08-27T14:23:18.808612Z,10:23:18,10:23:18,1,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,LevelLedger,RailHeld,Demand,7725.25,7725.25,7725.25,2,2,live-ll-38-RailHeld-639234373988030569,live-ll-38-RailHeld-639234373988030569
ES,7976,8170,2026-08-27T14:23:24.049178Z,2026-08-27T14:27:21.066059Z,10:23:24,10:27:21,47,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,Price,PriceTouch,None,7726.125,7723.375,7729.125,2,2,quote-639234374039026686,quote-639234376408927417
ES,8174,8174,2026-08-27T14:27:24.057667Z,2026-08-27T14:27:24.057667Z,10:27:24,10:27:24,1,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,path_stress,mature_path_adds_suppressed,harvest-7732-7736,Price,PriceTouch,None,7729.875,7729.875,7729.875,2,2,quote-639234376438648711,quote-639234376438648711
ES,8178,8178,2026-08-27T14:27:28.059397Z,2026-08-27T14:27:28.059397Z,10:27:28,10:27:28,1,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,Price,PriceTouch,None,7729.125,7729.125,7729.125,2,2,quote-639234376480104990,quote-639234376480104990
ES,8181,8191,2026-08-27T14:27:29.552654Z,2026-08-27T14:27:45.814217Z,10:27:29,10:27:45,4,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,path_stress,mature_path_adds_suppressed,harvest-7732-7736,Price,PriceTouch,None,7729.875,7729.875,7730.125,2,2,quote-639234376494938475,quote-639234376655893909
ES,8194,8219,2026-08-27T14:27:48.810506Z,2026-08-27T14:28:29.806818Z,10:27:48,10:28:29,9,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,Price,PriceTouch,None,7729.125,7728.375,7729.125,2,2,quote-639234376686870643,quote-639234377095771738
ES,8224,8224,2026-08-27T14:28:35.059414Z,2026-08-27T14:28:35.059414Z,10:28:35,10:28:35,1,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,LevelLedger,RailTested,Demand,7727.75,7727.75,7727.75,2,2,live-ll-46-RailTested-639234377150551171,live-ll-46-RailTested-639234377150551171
ES,8226,8327,2026-08-27T14:28:40.309200Z,2026-08-27T14:30:43.581064Z,10:28:40,10:30:43,25,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,Price,PriceTouch,None,7728.375,7722.125,7728.875,2,2,quote-639234377200625086,quote-639234378433289479
ES,8331,8331,2026-08-27T14:30:48.569577Z,2026-08-27T14:30:48.569577Z,10:30:48,10:30:48,1,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,LevelLedger,RailFailed,Demand,7724.0,7724.0,7724.0,2,2,live-ll-46-RailFailed-639234378485625008,live-ll-46-RailFailed-639234378485625008
ES,8340,8530,2026-08-27T14:30:53.818024Z,2026-08-27T14:35:20.829627Z,10:30:53,10:35:20,53,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,Price,PriceTouch,None,7724.125,7723.125,7727.125,2,2,quote-639234378535869749,quote-639234381206380162
ES,8535,8535,2026-08-27T14:35:25.847277Z,2026-08-27T14:35:25.847277Z,10:35:25,10:35:25,1,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,LevelLedger,RailTested,Supply,7727.0,7727.0,7727.0,2,2,live-ll-48-RailTested-639234381258318327,live-ll-48-RailTested-639234381258318327
